name,keywords,best_for,performance,accessibility,light_mode,dark_mode,effects
Minimalism,简洁 功能性 专业 企业级 仪表盘 文档,Enterprise apps dashboards documentation saas,Excellent,WCAG AA,✓ Clean minimal shadows,✓ High contrast mode,Subtle hover transitions (200ms)
Glassmorphism,玻璃 现代 透明 模糊 SaaS 金融 仪表盘,Modern SaaS financial dashboards crypto,Good,WCAG AA blur needs fallback,✓ Frosted glass effect,✓ Dark glass variant,Blur backdrop + smooth scale
Neumorphism,柔和 3D 健康 养生 冥想,Health wellness apps meditation spa,Good,WCAG AA tactile friendly,✓ Soft shadows depth,⚠️ Low contrast issues,Soft shadows (0 4px 20px rgba) + gentle press
Brutalism,粗犷 大胆 艺术 设计 作品集,Design portfolios artistic projects creative,Excellent,WCAG A high contrast,✓ Bold typography,✓ High contrast dark,Harsh shadows + instant transitions
Dark Mode,夜间 OLED 编码 游戏 开发者,Coding platforms gaming crypto night apps,Excellent OLED saving,WCAG AA high contrast required,⚠️ Not recommended,✓ OLED optimized,Smooth transitions + no flash
Claymorphism,粘土 儿童 教育 卡片 SaaS,Childrens apps educational SaaS playful,Excellent,WCAG AA friendly,✓ Playful 3D cards,✓ Dark clay variant,Rounded shadows + bounce hover
Flat Design,扁平 简洁 MVP 移动 Web,Web apps mobile apps startup MVPs,Excellent,WCAG AA clear,✓ Solid colors,✓ Flat dark variant,Color transitions (200ms) + no shadows
Soft UI,柔和 现代 企业 premium,SaaS wellness premium services,Excellent,WCAG AA calming,✓ Gentle shadows,✓ Soft dark variant,Soft shadows + subtle depth
Bento Grid,网格 卡片 模块 仪表盘 产品页,Dashboards product pages portfolios,Excellent,WCAG AA organized,✓ Modular grid,✓ Dark grid variant,Card hover lift + smooth reorder
Aurora UI,极光 渐变 SaaS 创意 现代,SaaS creative agencies modern apps,Good,WCAG AA gradient fallback,✓ Gradient glow,✓ Dark aurora,Gradient animation + glow hover
AI Native,动态 自适应 AI 对话 聊天,AI products chatbots copilots assistant,Good,WCAG AA adaptive,✓ Dynamic layout,✓ Dark adaptive,Adaptive transitions + typing indicator
Neobrutalism,大胆 年轻 Gen Z startup 原始,Gen Z brands startups creative,Excellent,WCAG AA high contrast,✓ Bold colors borders,✓ Dark variant with borders,Instant transitions + thick borders
Organic,自然 生物 有机 环保 可持续,Wellness sustainability biotech healthcare,Good,WCAG AA natural,✓ Organic shapes,✓ Dark organic variant,Soft curves + natural transitions
Swiss Modern,瑞士 现代 专业 企业 架构,Corporate enterprise architecture,Excellent,WCAG AA grid,✓ Grid based,✓ Dark swiss variant,Grid transitions + clean hover
Retro Futurism,复古 未来 游戏 娱乐 音乐,Gaming entertainment music platforms,Good,WCAG AA retro fallback,✓ Retro colors,✓ Neon variant,Retro glow + scan effects
Cyberpunk,赛博朋克 游戏 科技 crypto 科幻,Gaming tech crypto sci-fi apps,Good,WCAG AA high contrast,⚠️ Neon too bright,✓ Neon optimized,Neon glow + glitch effects
Spatial UI,空间 VisionOS VR AR 沉浸,Spatial computing VR AR visionos,Good,WCAG AA spatial,✓ 3D depth,✓ Dark spatial,Depth transitions + hover glow
Liquid Glass,液态 玻璃 premium SaaS 电商,Premium SaaS high-end ecommerce,Good,WCAG AA glass fallback,✓ Liquid glass,✓ Dark liquid variant,Liquid morphing + glow edge
Kinetic Typography,动态 文字 排版 hero 动画,Hero sections marketing storytelling,Good,WCAG AA text fallback,✓ Animated text,✓ Dark kinetic variant,Text animation + scroll trigger
Organic Shapes,圆形 流动 自然 软性,Wellness lifestyle beauty apps,Good,WCAG AA shapes,✓ Rounded shapes,✓ Dark organic variant,Shape morphing + gentle bounce
Material 3,谷歌 安卓 设计系统 现代,Android apps modern design system,Excellent,WCAG AA material,✓ Dynamic color,✓ Dark material 3,Material motion + ripple effect
Cupertino,苹果 iOS 原生 标准,iOS apps apple native design,Excellent,WCAG AA native,✓ SF symbols,✓ Dark cupertino,Native transitions + spring animation
Gradient Flow,渐变 流动 现代 科技,Tech startups modern SaaS,Good,WCAG AA gradient fallback,✓ Flowing gradient,✓ Dark gradient flow,Gradient animation + smooth morph
Monochrome,单色 黑白 极简 专业,Minimalist apps luxury brands,Excellent,WCAG AA high contrast,✓ Black white gray,✓ Dark monochrome,Gray scale transitions + clean
Isometric 3D,等距 3D 图形 数据 可视化,Data visualization dashboards,Good,WCAG AA 3d fallback,✓ 3D isometric,✓ Dark isometric,3D rotation + depth hover
Paper Texture,纸张 纹理 手工 文艺,Artisanal handmade crafts blogs,Good,WCAG AA texture fallback,✓ Paper texture,✓ Dark paper variant,Texture overlay + subtle grain
Gradient Mesh,网格 渐变 现代 SaaS 创意,Modern SaaS creative brands,Good,WCAG AA mesh fallback,✓ Mesh gradient,✓ Dark mesh,Mesh animation + color shift
Micro Interactions,微交互 动效 细节 UX,All interactive apps UX focused,Excellent,WCAG AA micro,✓ Micro animations,✓ Dark micro variant,Subtle feedback + state change
Neon Accent,霓虹 强调 游戏 音乐 夜间,Gaming music nightlife apps,Good,WCAG AA neon contrast,⚠️ Neon caution,✓ Neon optimized,Neon glow + pulse effect
Editorial Classic,编辑 经典 报纸 出版 杂志,News media publishing blogs,Excellent,WCAG AA editorial,✓ Classic layout,✓ Dark editorial variant,Typography transitions + fade
Paper Fold,折叠 纸张 层次 深度,Portfolio showcase creative,Good,WCAG AA fold fallback,✓ Fold shadows,✓ Dark fold variant,Fold animation + layer reveal
Liquid Motion,液态 流动 动态 创意,Creative agencies portfolios,Good,WCAG AA liquid fallback,✓ Liquid animation,✓ Dark liquid motion,Liquid morphing + wave effect
Layered Depth,层次 深度 卡片 模块,Dashboard apps complex UIs,Excellent,WCAG AA layered,✓ Layered cards,✓ Dark depth variant,Depth transitions + card lift
Parallax Motion,视差 动画 hero 深度,Hero sections storytelling,Good,WCAG AA parallax caution,✓ Parallax scroll,✓ Dark parallax variant,Scroll depth + layer move
Texture Overlay,纹理 覆盖 粗糙 手工,Handcrafted artisanal apps,Good,WCAG AA texture fallback,✓ Texture overlay,✓ Dark texture variant,Texture animation + grain
Focus Minimal,聚焦 简洁 内容 文档,Documentation blogs reading apps,Excellent,WCAG AA focus,✓ Clean focus,✓ Dark focus variant,Focus transitions + fade out
Vintage Retro,复古 怀旧 经典 传统,Traditional brands nostalgic apps,Good,WCAG AA vintage,✓ Vintage colors,✓ Dark retro variant,Fade transitions + sepia
Technical Grid,技术 网格 架构 系统图,System architecture tech docs,Excellent,WCAG AA grid,✓ Tech grid,✓ Dark grid variant,Grid transitions + data flow
Clean Corporate,企业 专业 商务 B2B,B2B enterprise corporate apps,Excellent,WCAG AA corporate,✓ Clean corporate,✓ Dark corporate variant,Professional transitions + subtle
Gradient Hero,渐变 hero 大气 科技,Tech startups landing pages,Good,WCAG AA gradient fallback,✓ Gradient hero,✓ Dark gradient hero,Gradient animation + hero zoom
Minimal Cards,简约 卡片 网格 产品,Product showcase portfolio,Excellent,WCAG AA cards,✓ Minimal cards,✓ Dark cards variant,Card hover + smooth lift
Line Art,线条 艺术 简约 设计作品,Design portfolios minimalist,Excellent,WCAG AA line,✓ Line graphics,✓ Dark line variant,Line animation + draw effect
Dot Pattern,点阵 网格 现代 极简,Minimalist apps tech SaaS,Excellent,WCAG AA dots,✓ Dot pattern,✓ Dark dots variant,Dot animation + scale
Shadow Play,阴影 深度 层次 卡片,Card layouts dashboard UI,Good,WCAG AA shadow,✓ Shadow depth,✓ Dark shadow variant,Shadow animation + depth change
Color Blocks,色块 现代 简约 SaaS,Modern SaaS startup apps,Excellent,WCAG AA blocks,✓ Color blocks,✓ Dark blocks variant,Block transitions + fade
Gradient Cards,渐变 卡片 现代 premium,Premium SaaS subscription apps,Good,WCAG AA gradient cards,✓ Gradient cards,✓ Dark gradient cards,Gradient fade + card lift
Outline Icons,轮廓 图标 简约 现代,All modern apps UI systems,Excellent,WCAG AA outline,✓ Outline icons,✓ Dark outline variant,Icon stroke animation
Filled Icons,填充 图标 实色 标准,Standard apps enterprise,Excellent,WCAG AA filled,✓ Filled icons,✓ Dark filled variant,Icon fill animation
Mixed Icons,混合 图标 风格 灵活,Hybrid apps flexible design,Excellent,WCAG AA mixed,✓ Mixed icon styles,✓ Dark mixed variant,Style transitions + adapt
Duotone Icons,双色 图标 现代 创意,Creative apps modern design,Excellent,WCAG AA duotone,✓ Duotone icons,✓ Dark duotone variant,Duotone shift + color change
Lottie Animation,Lottie 动画 高质量 专业,All apps professional motion,Good,WCAG AA lottie,✓ Lottie animations,✓ Dark lottie variant,Lottie play + interactive
CSS Animation,CSS 动画 原生 高效,Web apps native performance,Excellent,WCAG AA css,✓ CSS animations,✓ Dark css variant,CSS transitions + keyframes
SVG Motion,SVG 动画 灵活 图形,Interactive graphics icons,Excellent,WCAG AA svg,✓ SVG motion,✓ Dark svg variant,SVG path animation + morph
Scroll Reveal,滚动 显示 动画 交互,Scroll based UIs storytelling,Good,WCAG AA scroll caution,✓ Reveal on scroll,✓ Dark reveal variant,Scroll trigger + fade in
Page Transition,页面 转换 流程 导航,Multi page apps navigation,Good,WCAG AA page trans,✓ Page transitions,✓ Dark transition,Slide/fade transitions + flow
Carousel Motion,轮播 动画 滑动 展示,Product showcase galleries,Good,WCAG AA carousel,✓ Carousel motion,✓ Dark carousel variant,Slide animation + drag
Modal Animation,模态 动画 弹窗 对话框,Modal dialogs overlays,Good,WCAG AA modal,✓ Modal animation,✓ Dark modal variant,Scale/fade modal + backdrop
Notification Motion,通知 动态 提示 反馈,Notification systems alerts,Excellent,WCAG AA notification,✓ Notification motion,✓ Dark notification,Slide in + auto dismiss
Progress Animation,进度 动画 加载 反馈,Progress bars loaders upload,Excellent,WCAG AA progress,✓ Progress animation,✓ Dark progress variant,Progress fill + pulse
Skeleton Loading,骨架 加载 占位 预览,Loading states content preview,Excellent,WCAG AA skeleton,✓ Skeleton loading,✓ Dark skeleton variant,Skeleton shimmer + reveal
Tooltip Motion,提示 动画 弹出 说明,Tooltip help systems info,Excellent,WCAG AA tooltip,✓ Tooltip motion,✓ Dark tooltip variant,Fade tooltip + position
Dropdown Animation,下拉 动画 菜单 选择,Dropdown menus select lists,Excellent,WCAG AA dropdown,✓ Dropdown motion,✓ Dark dropdown variant,Slide dropdown + hover
Tab Transition,标签 转换 页签 导航,Tab navigation content switch,Excellent,WCAG AA tabs,✓ Tab transitions,✓ Dark tab variant,Slide/fade tab + indicator
Accordion Motion,折叠 动画 展开 列表,Accordion lists expandable,Excellent,WCAG AA accordion,✓ Accordion motion,✓ Dark accordion variant,Slide expand + collapse
Search Animation,搜索 动画 输入 查询,Search bars input fields,Excellent,WCAG AA search,✓ Search animation,✓ Dark search variant,Expand/focus search + results
Button States,按钮 状态 悬停 点击,Buttons interactive elements,Excellent,WCAG AA buttons,✓ Button states,✓ Dark button variant,Hover/active transitions + scale
Form Feedback,表单 反馈 验证 提示,Forms validation inputs,Excellent,WCAG AA forms,✓ Form feedback,✓ Dark form variant,Error/success animations + shake
Success Animation,成功 动画 确认 反馈,Success states confirmations,Excellent,WCAG AA success,✓ Success animation,✓ Dark success variant,Check mark + pulse scale
Error Animation,错误 动画 提示 警告,Error states warnings alerts,Excellent,WCAG AA error,✓ Error animation,✓ Dark error variant,Shake/warning pulse + fade
Welcome Animation,欢迎 动画 入场 欢迎,Welcome screens onboarding,Good,WCAG AA welcome,✓ Welcome motion,✓ Dark welcome variant,Fade/scale welcome + sequence
Logout Animation,退出 动画 结束 离开,Logout screens farewell,Good,WCAG AA logout,✓ Logout motion,✓ Dark logout variant,Fade out + transition